title,price,phoneContact,companyName,location,imageLink
Exquisitely Finished 3 Bedroom Bungalow With Modern Finishings,"₦65,000,000",+2347034534415,Geobrooks Consult,"Ayegoro, Opposite Carlton Gate Estate, Akobo, Ibadan, Oyo",https://images.nigeriapropertycentre.com/properties/images/thumbs/2258529/06645d2a03e5da-exquisitely-finished-3-bedroom-bungalow-with-modern-finishings-detached-bungalows-for-sale-akobo-ibadan-oyo.jpg
Luxury 5 Bedrooms Detached Duplex,"$5,000,000 
approx. ₦7,509,349,720",08033570342,Tgeemax Services Ltd,"Banana Island, Ikoyi, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299126/066671aa7ab23a-luxury-5-bedrooms-detached-duplex-detached-duplexes-for-sale-banana-island-ikoyi-lagos.jpg
4 Bedroom Fully Detached Duplex With Bq,"₦100,000,000",07069995451,Mosky Venture,"Adesanya, Ajah, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299122/066671a23dbec6-4-bedroom-fully-detached-duplex-with-bq-detached-duplexes-for-sale-ajah-lagos.jpg
Luxury 2 Units Of 5 Bedroom Duplex,"₦120,000,000",+2348168129219,Hand Of God Construction Company Limited,"Okpanam Road, Asaba, Delta",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299115/066671947ef822-luxury-2-units-of-5-bedroom-duplex-for-sale-asaba-delta.jpeg
Lovely 1 & 2 Bedroom Apartment With Pool,"₦50,000,000",+2347052034019,Horlan Homes,"Ologolo, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299109/06667185fcaa84-lovely-1-2-bedroom-apartment-with-pool-in-lekki-phase-2-block-of-flats-for-sale-ologolo-lekki-lagos.jpg
4 Bedroom Fully Detached Duplex With Bq,"₦110,000,000",07069995451,Mosky Venture,"Adesanya, Ajah, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299105/06667182de7a2b-4bedroom-semi-detached-duplex-with-bq-detached-duplexes-for-sale-ajah-lagos.jpg
5 Bedroom Fully Detached,"₦450,000,000",08102386902,Kniffy The Realtor,"Osapa, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299104/0666717f0e7e8b-5bedroom-fully-detached-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg
3 Bedroom Detached House With One Room Bq;,"₦200,000,000",08082163583,Joe Etoniru And Associates,"Lekki Phase 1, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299100/06667184f1e030-3-bedroom-detached-house-with-one-room-bq-detached-duplexes-for-sale-lekki-phase-1-lekki-lagos.jpg
3 Bedroom Semi Detached Duplex With Bq,"₦80,000,000",07069995451,Mosky Venture,"Adesanya, Ajah, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299096/06667173e7ac3e-3-bedroom-semi-detached-duplex-with-bq-semi-detached-duplexes-for-sale-ajah-lagos.jpg
5 Bedrooms Fully Detached Duplex With A Spacious Study Room And Bq,"₦370,000,000",09135009033,Bimadek Properties Ventures,"Chevron Drive, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299095/06667178704cc4-5-bedrooms-fully-detached-duplex-with-a-spacious-study-room-and-bq-detached-duplexes-for-sale-lekki-lagos.jpg
